id	name	unit_name	nutrient_nbr	rank	normalized_raw	normalized_cleaned	normalized_norm	normalized_norm_no_commas	normalized_norm_no_paren	normalized_norm_compact
2047	Energy (Atwater General Factors)	KCAL	957.0	280.0	Energy (Atwater General Factors)	Energy	energy	energy	energy	energy
2048	Energy (Atwater Specific Factors)	KCAL	958.0	290.0	Energy (Atwater Specific Factors)	Energy	energy	energy	energy	energy
1001	Solids	G	201.0	200.0	Solids	Solids	solids	solids	solids	solids
1002	Nitrogen	G	202.0	500.0	Nitrogen	Nitrogen	nitrogen	nitrogen	nitrogen	nitrogen
1003	Protein	G	203.0	600.0	Protein	Protein	protein	protein	protein	protein
1004	Total lipid (fat)	G	204.0	800.0	Total lipid (fat)	lipid	lipid	lipid	lipid	lipid
1005	Carbohydrate, by difference	G	205.0	1110.0	Carbohydrate, by difference	Carbohydrate,	carbohydrate	carbohydrate	carbohydrate	carbohydrate
1006	Fiber, crude (DO NOT USE - Archived)	G	206.0	999999.0	Fiber, crude (DO NOT USE - Archived)	Fiber, crude	fiber, crude	fiber crude	fiber, crude	fiber crude
1007	Ash	G	207.0	1000.0	Ash	Ash	ash	ash	ash	ash
1008	Energy	KCAL	208.0	300.0	Energy	Energy	energy	energy	energy	energy
1009	Starch	G	209.0	2200.0	Starch	Starch	starch	starch	starch	starch
1010	Sucrose	G	210.0	1600.0	Sucrose	Sucrose	sucrose	sucrose	sucrose	sucrose
1011	Glucose	G	211.0	1700.0	Glucose	Glucose	glucose	glucose	glucose	glucose
1012	Fructose	G	212.0	1800.0	Fructose	Fructose	fructose	fructose	fructose	fructose
1013	Lactose	G	213.0	1900.0	Lactose	Lactose	lactose	lactose	lactose	lactose
1014	Maltose	G	214.0	2000.0	Maltose	Maltose	maltose	maltose	maltose	maltose
1015	Amylose	G	218.0	999999.0	Amylose	Amylose	amylose	amylose	amylose	amylose
1016	Amylopectin	G	219.0	999999.0	Amylopectin	Amylopectin	amylopectin	amylopectin	amylopectin	amylopectin
1017	Pectin	G	220.0	999999.0	Pectin	Pectin	pectin	pectin	pectin	pectin
1018	Alcohol, ethyl	G	221.0	18200.0	Alcohol, ethyl	Alcohol, ethyl	alcohol, ethyl	alcohol ethyl	alcohol, ethyl	alcohol ethyl
1019	Pentosan	G	222.0	999999.0	Pentosan	Pentosan	pentosan	pentosan	pentosan	pentosan
1020	Pentoses	G	223.0	999999.0	Pentoses	Pentoses	pentoses	pentoses	pentoses	pentoses
1021	Hemicellulose	G	224.0	999999.0	Hemicellulose	Hemicellulose	hemicellulose	hemicellulose	hemicellulose	hemicellulose
1022	Cellulose	G	225.0	999999.0	Cellulose	Cellulose	cellulose	cellulose	cellulose	cellulose
1023	pH	PH	226.0	999999.0	pH	pH	ph	ph	ph	ph
1024	Specific Gravity	SP_GR	227.0	8955.0	Specific Gravity	Specific Gravity	specific gravity	specific gravity	specific gravity	specific gravity
1025	Organic acids	G	229.0	2850.0	Organic acids	Organic acids	organic acids	organic acids	organic acids	organic acids
1026	Acetic acid	MG	230.0	2900.0	Acetic acid	Acetic acid	acetic acid	acetic acid	acetic acid	acetic acid
1027	Aconitic acid	MG	231.0	3000.0	Aconitic acid	Aconitic acid	aconitic acid	aconitic acid	aconitic acid	aconitic acid
1028	Benzoic acid	MG	232.0	3100.0	Benzoic acid	Benzoic acid	benzoic acid	benzoic acid	benzoic acid	benzoic acid
1029	Chelidonic acid	MG	233.0	3200.0	Chelidonic acid	Chelidonic acid	chelidonic acid	chelidonic acid	chelidonic acid	chelidonic acid
1030	Chlorogenic acid	MG	234.0	3300.0	Chlorogenic acid	Chlorogenic acid	chlorogenic acid	chlorogenic acid	chlorogenic acid	chlorogenic acid
1031	Cinnamic acid	MG	235.0	3400.0	Cinnamic acid	Cinnamic acid	cinnamic acid	cinnamic acid	cinnamic acid	cinnamic acid
