generic_nutrient_id	generic_name	generic_compact	specific_nutrient_id	specific_name	specific_compact	specific_source	rule
1003	Protein	protein	1222	Alanine	alanine	existing	protein_to_amino_acids
1003	Protein	protein	1220	Arginine	arginine	existing	protein_to_amino_acids
1003	Protein	protein	1231	Asparagine	asparagine	existing	protein_to_amino_acids
1003	Protein	protein	1223	Aspartic acid	aspartic acid	existing	protein_to_amino_acids
1003	Protein	protein	1232	Cysteine	cysteine	existing	protein_to_amino_acids
1003	Protein	protein	1216	Cystine	cystine	existing	protein_to_amino_acids
1003	Protein	protein	1224	Glutamic acid	glutamic acid	existing	protein_to_amino_acids
1003	Protein	protein	1233	Glutamine	glutamine	existing	protein_to_amino_acids
1003	Protein	protein	1225	Glycine	glycine	existing	protein_to_amino_acids
1003	Protein	protein	1221	Histidine	histidine	existing	protein_to_amino_acids
1003	Protein	protein	1212	Isoleucine	isoleucine	existing	protein_to_amino_acids
1003	Protein	protein	1213	Leucine	leucine	existing	protein_to_amino_acids
1003	Protein	protein	1214	Lysine	lysine	existing	protein_to_amino_acids
1003	Protein	protein	1215	Methionine	methionine	existing	protein_to_amino_acids
1003	Protein	protein	1217	Phenylalanine	phenylalanine	existing	protein_to_amino_acids
1003	Protein	protein	1226	Proline	proline	existing	protein_to_amino_acids
1003	Protein	protein	1227	Serine	serine	existing	protein_to_amino_acids
1003	Protein	protein	1211	Threonine	threonine	existing	protein_to_amino_acids
1003	Protein	protein	1210	Tryptophan	tryptophan	existing	protein_to_amino_acids
1003	Protein	protein	1218	Tyrosine	tyrosine	existing	protein_to_amino_acids
1003	Protein	protein	1219	Valine	valine	existing	protein_to_amino_acids
1004	Total lipid (fat)	lipid	1105	Retinol	retinol	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1107	Carotene, beta	carotene beta	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1108	Carotene, alpha	carotene alpha	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1116	Phytoene	phytoene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1117	Phytofluene	phytofluene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1118	Carotene, gamma	carotene gamma	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1119	Zeaxanthin	zeaxanthin	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1121	Lutein	lutein	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1122	Lycopene	lycopene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1157	Carotene	carotene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1159	cis-beta-Carotene	cis beta carotene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1160	cis-Lycopene	cis lycopene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1253	Cholesterol	cholesterol	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1272	PUFA 22:6 n-3 (DHA)	pufa 22 6 n 3	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1278	PUFA 20:5 n-3 (EPA)	pufa 20 5 n 3	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1284	Ergosterol	ergosterol	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1285	Stigmasterol	stigmasterol	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	1286	Campesterol	campesterol	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	2028	trans-beta-Carotene	trans beta carotene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	2029	trans-Lycopene	trans lycopene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	96011	13-cis-retinol	13 cis retinol	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	96064	Alfa-carotene	alfa carotene	existing	fat_to_fatty_acids
1004	Total lipid (fat)	lipid	96075	All-trans-retinol	all trans retinol	existing	fat_to_fatty_acids
