nutrient_id	name	normalized_norm	normalized_norm_no_commas	normalized_norm_no_paren	normalized_norm_compact	is_added_by_expansion	parent_generic_id	parent_generic_compact	rule
1002	Nitrogen	nitrogen	nitrogen	nitrogen	nitrogen	0	1052	adjusted nitrogen	alias_to_canonical
1007	Ash	ash	ash	ash	ash	0	2027	proximate	proximates_to_macros
1009	Starch	starch	starch	starch	starch	0	260230	carbohydrate by difference	carb_to_complex_carbs
1010	Sucrose	sucrose	sucrose	sucrose	sucrose	0	260230	carbohydrate by difference	carb_to_sugars
1011	Glucose	glucose	glucose	glucose	glucose	0	260230	carbohydrate by difference	carb_to_sugars
1012	Fructose	fructose	fructose	fructose	fructose	0	260230	carbohydrate by difference	carb_to_sugars
1013	Lactose	lactose	lactose	lactose	lactose	0	260230	carbohydrate by difference	carb_to_sugars
1014	Maltose	maltose	maltose	maltose	maltose	0	260230	carbohydrate by difference	carb_to_sugars
1015	Amylose	amylose	amylose	amylose	amylose	0	260230	carbohydrate by difference	carb_to_complex_carbs
1016	Amylopectin	amylopectin	amylopectin	amylopectin	amylopectin	0	260230	carbohydrate by difference	carb_to_complex_carbs
1017	Pectin	pectin	pectin	pectin	pectin	0	260230	carbohydrate by difference	carb_to_complex_carbs
1018	Alcohol, ethyl	alcohol, ethyl	alcohol ethyl	alcohol, ethyl	alcohol ethyl	0			
1019	Pentosan	pentosan	pentosan	pentosan	pentosan	0	260230	carbohydrate by difference	carb_to_complex_carbs
1020	Pentoses	pentoses	pentoses	pentoses	pentoses	0	260230	carbohydrate by difference	carb_to_complex_carbs
1021	Hemicellulose	hemicellulose	hemicellulose	hemicellulose	hemicellulose	0	260230	carbohydrate by difference	carb_to_complex_carbs
1022	Cellulose	cellulose	cellulose	cellulose	cellulose	0	260230	carbohydrate by difference	carb_to_complex_carbs
1023	pH	ph	ph	ph	ph	0			
1024	Specific Gravity	specific gravity	specific gravity	specific gravity	specific gravity	0			
1026	Acetic acid	acetic acid	acetic acid	acetic acid	acetic acid	0	1025	organic acids	organic_acids_to_specific_existing
1027	Aconitic acid	aconitic acid	aconitic acid	aconitic acid	aconitic acid	0	1025	organic acids	organic_acids_to_specific_existing
1028	Benzoic acid	benzoic acid	benzoic acid	benzoic acid	benzoic acid	0	1025	organic acids	organic_acids_to_specific_existing
1029	Chelidonic acid	chelidonic acid	chelidonic acid	chelidonic acid	chelidonic acid	0	1025	organic acids	organic_acids_to_specific_existing
