id,name,unit_name,emptyspace,fakerank
96000,(+)-Catechin,MG,,63001
96001,(+)-Gallocatechin,MG,,63001
96002,(-)-Epicatechin,MG,,63001
96003,(-)-Epicatechin 3-O-gallate,MG,,63001
96004,(-)-Epigallocatechin,MG,,63001
96005,(-)-Epigallocatechin 3-O-gallate,MG,,63001
96006,02 mers,MG,,63001
96007,03 mers,MG,,63001
96008,04-06 mers,MG,,63001
96009,07-10 mers,MG,,63001
96010,"1,4-Naphtoquinone",MG,,63001
96011,13-cis-retinol,MG,,63001
96012,"2,3-Dihydroxy-1-guaiacylpropanone",MG,,63001
96013,25-hydroxy D2-vitamin,MG,,63001
96014,25-hydroxy D3-vitamin,MG,,63001
96015,25-hydroxy Vitamin D2,MG,,63001
96016,25-hydroxy vitamin D3,MG,,63001
96017,25-hydroxycholecalciferol (25OHVitD3),MG,,63001
96018,"3,7-Dimethylquercetin",MG,,63001
96019,3-Methylcatechol,MG,,63001
96020,3_alpha,MG,,63001
96021,4-Ethylcatechol,MG,,63001
96022,4-Ethylguaiacol,MG,,63001
96023,4-Ethylphenol,MG,,63001
96024,4-Hydroxybenzaldehyde,MG,,63001
96025,4-Hydroxycoumarin,MG,,63001
96026,4-Methylcatechol,MG,,63001
96027,4-Vinylguaiacol,MG,,63001
96028,4-Vinylphenol,MG,,63001
96029,5-Heneicosenylresorcinol,MG,,63001
96030,5-Heneicosylresorcinol,MG,,63001
96031,5-Heptadecylresorcinol,MG,,63001
96032,5-mehtyl folate,MG,,63001
96033,5-Nonadecenylresorcinol,MG,,63001
96034,5-Nonadecylresorcinol,MG,,63001
96035,5-Pentacosenylresorcinol,MG,,63001
96036,5-Pentacosylresorcinol,MG,,63001
96037,5-Pentadecylresorcinol,MG,,63001
96038,5-Tricosenylresorcinol,MG,,63001
96039,5-Tricosylresorcinol,MG,,63001
96040,6-Geranylnaringenin,MG,,63001
96041,6-Prenylnaringenin,MG,,63001
96042,8-Prenylnaringenin,MG,,63001
96043,A-vitamin,MG,,63001
96044,AA (pernitrogen),MG,,63001
96045,AAA,MG,,63001
96046,AAE-,MG,,63001
96047,AAE8,MG,,63001
96048,AANE,MG,,63001
96049,AAS,MG,,63001
96050,AAT-,MG,,63001
96051,AAT18,MG,,63001
96052,AAT19,MG,,63001
96053,AAT24,MG,,63001
96054,ACEAC,MG,,63001
96055,ACW,MG,,63001
96056,Added Sugar,MG,,63001
96057,ALA,MG,,63001
96058,ALA_A_ARG,MG,,63001
96059,Alanin,MG,,63001
96060,ALBU,MG,,63001
96061,ALC,MG,,63001
96062,Alcohol,MG,,63001
96063,Alcool,MG,,63001
96064,Alfa-carotene,MG,,63001
96065,alfa-Tokoferol,MG,,63001
96066,alfa-Tokotrienol,MG,,63001
96067,alim_grp_nom_eng,MG,,63001
96068,alim_nom_eng,MG,,63001
96069,alim_nom_sci,MG,,63001
96070,alim_ssgrp_nom_eng,MG,,63001
96071,alim_ssssgrp_nom_eng,MG,,63001
96072,Alkohol,MG,,63001
96073,Alkylmethoxyphenols,MG,,63001
96074,Alkylphenols,MG,,63001
96075,All-trans-retinol,MG,,63001
96076,Alpha-carotene,MG,,63001
96077,Alpha-carotène,MG,,63001
96078,Alpha-tocopherol,MG,,63001
96079,Alpha-tocopherol (vitamine E),MG,,63001
96080,Alpha-tocophérol,MG,,63001
96081,Alpha-tocotrienol,MG,,63001
96082,Aluminium,MG,,63001
96083,Aminosyrer og Nitrogen,MG,,63001
96084,AMMON,MG,,63001
96085,AMYS,MG,,63001
96086,Analytical/Biodiversity,MG,,63001
96087,Andre fedtsyrer,MG,,63001
96088,ANTCYAN,MG,,63001
96089,ANTCYANIN,MG,,63001
96090,Anthocyanins,MG,,63001
96091,ANTHX,MG,,63001
96092,AOAC fibre,MG,,63001
96093,ARAS,MG,,63001
96094,Arctigenin,MG,,63001
96095,ARG,MG,,63001
96096,Arginin,MG,,63001
96097,Arsen,MG,,63001
96098,ASCDL,MG,,63001
96099,ASCL,MG,,63001
96100,Ascorbinsyre,MG,,63001
96101,Aske,MG,,63001
96102,ASN,MG,,63001
96103,ASN_A_ASP,MG,,63001
96104,ASP,MG,,63001
96105,Asparaginsyre,MG,,63001
96106,ATX,MG,,63001
96107,AVED5,MG,,63001
96108,B12-vitamin,MG,,63001
96109,B6-vitamin,MG,,63001
96110,BENAC,MG,,63001
96111,Benzosyre,MG,,63001
96112,beta-Caroten,MG,,63001
96113,Beta-carotene,MG,,63001
96114,Beta-cryptoxanthin,MG,,63001
96115,Beta-tocopherol,MG,,63001
96116,beta-Tokoferol,MG,,63001
96117,Bevat sporen van/Contains traces of,MG,,63001
96118,Bibliography,MG,,63001
96119,Bioactive constituents,MG,,63001
96120,Biogene aminer,MG,,63001
96121,Biogenic amines,MG,,63001
96122,BIOT,MG,,63001
96123,Bly,MG,,63001
96124,Bor,MG,,63001
96125,Branched chain FA /100g FA,MG,,63001
96126,BRASTR,MG,,63001
96127,BRD,MG,,63001
96128,Breed,MG,,63001
96129,Brom,MG,,63001
96130,Bêta-carotène,MG,,63001
