id,name,unit_name,source
96000,F000050,MG,AFCD Release 3 - Nutrient profiles.xlsx
96001,F000051,MG,AFCD Release 3 - Nutrient profiles.xlsx
96002,F000061,MG,AFCD Release 3 - Nutrient profiles.xlsx
96003,F000086,MG,AFCD Release 3 - Nutrient profiles.xlsx
96004,F000089,MG,AFCD Release 3 - Nutrient profiles.xlsx
96005,F000091,MG,AFCD Release 3 - Nutrient profiles.xlsx
96006,F000092,MG,AFCD Release 3 - Nutrient profiles.xlsx
96007,F000095,MG,AFCD Release 3 - Nutrient profiles.xlsx
96008,F000098,MG,AFCD Release 3 - Nutrient profiles.xlsx
96009,F000099,MG,AFCD Release 3 - Nutrient profiles.xlsx
96010,F000105,MG,AFCD Release 3 - Nutrient profiles.xlsx
96011,F000107,MG,AFCD Release 3 - Nutrient profiles.xlsx
96012,F000108,MG,AFCD Release 3 - Nutrient profiles.xlsx
96013,F000110,MG,AFCD Release 3 - Nutrient profiles.xlsx
96014,F000111,MG,AFCD Release 3 - Nutrient profiles.xlsx
96015,F000122,MG,AFCD Release 3 - Nutrient profiles.xlsx
96016,F000123,MG,AFCD Release 3 - Nutrient profiles.xlsx
96017,F000124,MG,AFCD Release 3 - Nutrient profiles.xlsx
96018,F000130,MG,AFCD Release 3 - Nutrient profiles.xlsx
96019,F000134,MG,AFCD Release 3 - Nutrient profiles.xlsx
96020,F000233,MG,AFCD Release 3 - Nutrient profiles.xlsx
96021,F000234,MG,AFCD Release 3 - Nutrient profiles.xlsx
96022,F000243,MG,AFCD Release 3 - Nutrient profiles.xlsx
96023,F000244,MG,AFCD Release 3 - Nutrient profiles.xlsx
96024,F000247,MG,AFCD Release 3 - Nutrient profiles.xlsx
96025,F000248,MG,AFCD Release 3 - Nutrient profiles.xlsx
96026,F000257,MG,AFCD Release 3 - Nutrient profiles.xlsx
96027,F000262,MG,AFCD Release 3 - Nutrient profiles.xlsx
96028,F000267,MG,AFCD Release 3 - Nutrient profiles.xlsx
96029,F000378,MG,AFCD Release 3 - Nutrient profiles.xlsx
96030,F000379,MG,AFCD Release 3 - Nutrient profiles.xlsx
96031,F000416,MG,AFCD Release 3 - Nutrient profiles.xlsx
96032,F000418,MG,AFCD Release 3 - Nutrient profiles.xlsx
96033,F000419,MG,AFCD Release 3 - Nutrient profiles.xlsx
96034,F000421,MG,AFCD Release 3 - Nutrient profiles.xlsx
96035,F000422,MG,AFCD Release 3 - Nutrient profiles.xlsx
96036,F000436,MG,AFCD Release 3 - Nutrient profiles.xlsx
96037,F000437,MG,AFCD Release 3 - Nutrient profiles.xlsx
96038,F000441,MG,AFCD Release 3 - Nutrient profiles.xlsx
96039,F000442,MG,AFCD Release 3 - Nutrient profiles.xlsx
96040,F000446,MG,AFCD Release 3 - Nutrient profiles.xlsx
96041,F000448,MG,AFCD Release 3 - Nutrient profiles.xlsx
96042,F000449,MG,AFCD Release 3 - Nutrient profiles.xlsx
96043,F000451,MG,AFCD Release 3 - Nutrient profiles.xlsx
96044,F000452,MG,AFCD Release 3 - Nutrient profiles.xlsx
96045,F000453,MG,AFCD Release 3 - Nutrient profiles.xlsx
96046,F000458,MG,AFCD Release 3 - Nutrient profiles.xlsx
96047,F000459,MG,AFCD Release 3 - Nutrient profiles.xlsx
96048,F000472,MG,AFCD Release 3 - Nutrient profiles.xlsx
96049,F000473,MG,AFCD Release 3 - Nutrient profiles.xlsx
96050,F000513,MG,AFCD Release 3 - Nutrient profiles.xlsx
96051,F000514,MG,AFCD Release 3 - Nutrient profiles.xlsx
96052,F000517,MG,AFCD Release 3 - Nutrient profiles.xlsx
96053,F000518,MG,AFCD Release 3 - Nutrient profiles.xlsx
96054,F000522,MG,AFCD Release 3 - Nutrient profiles.xlsx
96055,F000523,MG,AFCD Release 3 - Nutrient profiles.xlsx
96056,F000526,MG,AFCD Release 3 - Nutrient profiles.xlsx
96057,F000527,MG,AFCD Release 3 - Nutrient profiles.xlsx
96058,F000559,MG,AFCD Release 3 - Nutrient profiles.xlsx
96059,F000560,MG,AFCD Release 3 - Nutrient profiles.xlsx
96060,F000561,MG,AFCD Release 3 - Nutrient profiles.xlsx
96061,F000562,MG,AFCD Release 3 - Nutrient profiles.xlsx
96062,F000563,MG,AFCD Release 3 - Nutrient profiles.xlsx
96063,F000564,MG,AFCD Release 3 - Nutrient profiles.xlsx
96064,F000655,MG,AFCD Release 3 - Nutrient profiles.xlsx
96065,F000656,MG,AFCD Release 3 - Nutrient profiles.xlsx
96066,F000666,MG,AFCD Release 3 - Nutrient profiles.xlsx
96067,F000667,MG,AFCD Release 3 - Nutrient profiles.xlsx
