id,name,unit_name,source
99000,3_alpha,MG,BioFoodComp4.0.xlsx
99001,AA (per g nitrogen),MG,BioFoodComp4.0.xlsx
99002,AAA(mg),MG,BioFoodComp4.0.xlsx
99003,AAE-(mg),MG,BioFoodComp4.0.xlsx
99004,AAE8(mg),MG,BioFoodComp4.0.xlsx
99005,AANE(mg),MG,BioFoodComp4.0.xlsx
99006,AAS(mg),MG,BioFoodComp4.0.xlsx
99007,AAT-(mg),MG,BioFoodComp4.0.xlsx
99008,AAT18(mg),MG,BioFoodComp4.0.xlsx
99009,AAT19(mg),MG,BioFoodComp4.0.xlsx
99010,AAT24(mg),MG,BioFoodComp4.0.xlsx
99011,ACEAC(mg),MG,BioFoodComp4.0.xlsx
99012,ACW,MG,BioFoodComp4.0.xlsx
99013,AG(mcg),MG,BioFoodComp4.0.xlsx
99014,AL(mcg),MG,BioFoodComp4.0.xlsx
99015,ALA(mg),MG,BioFoodComp4.0.xlsx
99016,ALA_A_ARG(mg),MG,BioFoodComp4.0.xlsx
99017,ALBU(mg),MG,BioFoodComp4.0.xlsx
99018,ALC(g),MG,BioFoodComp4.0.xlsx
99019,AMMON(mg),MG,BioFoodComp4.0.xlsx
99020,AMYS(g),MG,BioFoodComp4.0.xlsx
99021,ANTCYAN(mcg),MG,BioFoodComp4.0.xlsx
99022,ANTCYANIN(mg),MG,BioFoodComp4.0.xlsx
99023,ANTHX(mcg),MG,BioFoodComp4.0.xlsx
99024,ARAS(g),MG,BioFoodComp4.0.xlsx
99025,ARG(mg),MG,BioFoodComp4.0.xlsx
99026,AS(mcg),MG,BioFoodComp4.0.xlsx
99027,ASCDL(mg),MG,BioFoodComp4.0.xlsx
99028,ASCL(mg),MG,BioFoodComp4.0.xlsx
99029,ASCL(mg),MG,BioFoodComp4.0.xlsx
99030,ASN(mg),MG,BioFoodComp4.0.xlsx
99031,ASN_A_ASP(mg),MG,BioFoodComp4.0.xlsx
99032,ASP(mg),MG,BioFoodComp4.0.xlsx
99033,ATX(mcg),MG,BioFoodComp4.0.xlsx
99034,AVED5(mg),MG,BioFoodComp4.0.xlsx
99035,Al(mcg),MG,BioFoodComp4.0.xlsx
99036,Alcohol,MG,BioFoodComp4.0.xlsx
99037,B(mcg),MG,BioFoodComp4.0.xlsx
99038,BA(mcg),MG,BioFoodComp4.0.xlsx
99039,BENAC(mg),MG,BioFoodComp4.0.xlsx
99040,BIOT(mcg),MG,BioFoodComp4.0.xlsx
99041,BRASTR(mg),MG,BioFoodComp4.0.xlsx
99042,BRD(mcg),MG,BioFoodComp4.0.xlsx
99043,Bibliography,MG,BioFoodComp4.0.xlsx
99044,Bioactive constituents,MG,BioFoodComp4.0.xlsx
99045,Breed,MG,BioFoodComp4.0.xlsx
99046,CA(mg),MG,BioFoodComp4.0.xlsx
99047,CAFFAC(mg),MG,BioFoodComp4.0.xlsx
99048,CAFFAC(mg).1,MG,BioFoodComp4.0.xlsx
99049,CAMT(mg),MG,BioFoodComp4.0.xlsx
99050,CAROT(mcg),MG,BioFoodComp4.0.xlsx
99051,CARTA(mcg),MG,BioFoodComp4.0.xlsx
99052,CARTB(mcg),MG,BioFoodComp4.0.xlsx
99053,CARTBCIS(mcg),MG,BioFoodComp4.0.xlsx
99054,CARTBEQ(mcg),MG,BioFoodComp4.0.xlsx
99055,CARTG(mcg),MG,BioFoodComp4.0.xlsx
99056,CASN(mg),MG,BioFoodComp4.0.xlsx
99057,CATEC(mcg),MG,BioFoodComp4.0.xlsx
99058,CATECT(mcg),MG,BioFoodComp4.0.xlsx
99059,CD(mcg),MG,BioFoodComp4.0.xlsx
99060,CELLU(g),MG,BioFoodComp4.0.xlsx
99061,CHITIN(g),MG,BioFoodComp4.0.xlsx
99062,CHLNP(g),MG,BioFoodComp4.0.xlsx
99063,CHLRAC(mg),MG,BioFoodComp4.0.xlsx
99064,CHO-(g),MG,BioFoodComp4.0.xlsx
99065,CHOAVL(g),MG,BioFoodComp4.0.xlsx
99066,CHOAVL-(g),MG,BioFoodComp4.0.xlsx
99067,CHOAVLDF(g),MG,BioFoodComp4.0.xlsx
99068,CHOAVLM(g),MG,BioFoodComp4.0.xlsx
99069,CHOAVLO(g),MG,BioFoodComp4.0.xlsx
99070,CHOCAL(IU),MG,BioFoodComp4.0.xlsx
99071,CHOCAL(mcg),MG,BioFoodComp4.0.xlsx
99072,CHOCALOH(mcg),MG,BioFoodComp4.0.xlsx
99073,CHOCDF(g),MG,BioFoodComp4.0.xlsx
99074,CHOL-(mg),MG,BioFoodComp4.0.xlsx
99075,CHOLE(mg),MG,BioFoodComp4.0.xlsx
99076,CHOLEST(mg),MG,BioFoodComp4.0.xlsx
99077,CHOLN(mg),MG,BioFoodComp4.0.xlsx
99078,CINAC(mg),MG,BioFoodComp4.0.xlsx
99079,CITAC(mg),MG,BioFoodComp4.0.xlsx
99080,CLD(mg),MG,BioFoodComp4.0.xlsx
99081,CO(mcg),MG,BioFoodComp4.0.xlsx
99082,CR(mcg),MG,BioFoodComp4.0.xlsx
99083,CRYPX(mcg),MG,BioFoodComp4.0.xlsx
99084,CRYPXA(mcg),MG,BioFoodComp4.0.xlsx
99085,CRYPXB(mcg),MG,BioFoodComp4.0.xlsx
99086,CRYPXB(mcg),MG,BioFoodComp4.0.xlsx
99087,CS(mcg),MG,BioFoodComp4.0.xlsx
99088,CU(mg),MG,BioFoodComp4.0.xlsx
99089,CYAN(mcg),MG,BioFoodComp4.0.xlsx
99090,CYS(mg),MG,BioFoodComp4.0.xlsx
99091,CYSTE(mg),MG,BioFoodComp4.0.xlsx
99092,CYS_A_MET(mg),MG,BioFoodComp4.0.xlsx
99093,Choline and derivatives,MG,BioFoodComp4.0.xlsx
99094,Compiler,MG,BioFoodComp4.0.xlsx
99095,"Country, region",MG,BioFoodComp4.0.xlsx
99096,D22D1N7(g),MG,BioFoodComp4.0.xlsx
99097,DEN,MG,BioFoodComp4.0.xlsx
99098,DFE(mcg),MG,BioFoodComp4.0.xlsx
99099,DGLY(g),MG,BioFoodComp4.0.xlsx
99100,DM(g),MG,BioFoodComp4.0.xlsx
99101,DOPN,MG,BioFoodComp4.0.xlsx
99102,DOPN(mg),MG,BioFoodComp4.0.xlsx
99103,Dietary fibre fractions,MG,BioFoodComp4.0.xlsx
99104,"Dietary fibre, fibre, dietary fibre fractions",MG,BioFoodComp4.0.xlsx
99105,EBG,MG,BioFoodComp4.0.xlsx
99106,ELLAC(mg),MG,BioFoodComp4.0.xlsx
99107,EPICATEC(mcg),MG,BioFoodComp4.0.xlsx
99108,ERGCAL(mcg),MG,BioFoodComp4.0.xlsx
99109,ERGSTR(mcg),MG,BioFoodComp4.0.xlsx
99110,F10D0(g),MG,BioFoodComp4.0.xlsx
99111,F10D1(g),MG,BioFoodComp4.0.xlsx
99112,F11D0(g),MG,BioFoodComp4.0.xlsx
99113,F12D0(g),MG,BioFoodComp4.0.xlsx
99114,F12D1(g),MG,BioFoodComp4.0.xlsx
99115,F13D0(g),MG,BioFoodComp4.0.xlsx
99116,F13D0I(g),MG,BioFoodComp4.0.xlsx
99117,F13D0i(g),MG,BioFoodComp4.0.xlsx
99118,F14D0(g),MG,BioFoodComp4.0.xlsx
99119,F14D0I(g),MG,BioFoodComp4.0.xlsx
99120,F14D1(g),MG,BioFoodComp4.0.xlsx
99121,F14D1C(g),MG,BioFoodComp4.0.xlsx
99122,F14D1CN5(g),MG,BioFoodComp4.0.xlsx
99123,F14D1N5(g),MG,BioFoodComp4.0.xlsx
99124,F14D1N7(g),MG,BioFoodComp4.0.xlsx
99125,F14D1N9(g),MG,BioFoodComp4.0.xlsx
99126,F14D1T(g),MG,BioFoodComp4.0.xlsx
99127,F15D0(g),MG,BioFoodComp4.0.xlsx
99128,F15D0AI(g),MG,BioFoodComp4.0.xlsx
99129,F15D0I(g),MG,BioFoodComp4.0.xlsx
99130,F15D1(g),MG,BioFoodComp4.0.xlsx
99131,F15D1C(g),MG,BioFoodComp4.0.xlsx
99132,F15D1N10(g),MG,BioFoodComp4.0.xlsx
99133,F15D1N6(g),MG,BioFoodComp4.0.xlsx
99134,F15D1N7(g),MG,BioFoodComp4.0.xlsx
99135,F15D1N8(g),MG,BioFoodComp4.0.xlsx
99136,F15D1N9(g),MG,BioFoodComp4.0.xlsx
99137,F16D0(g),MG,BioFoodComp4.0.xlsx
99138,F16D0AI(g),MG,BioFoodComp4.0.xlsx
99139,F16D0I(g),MG,BioFoodComp4.0.xlsx
99140,F16D1(g),MG,BioFoodComp4.0.xlsx
99141,F16D1C(g),MG,BioFoodComp4.0.xlsx
99142,F16D1CN7(g),MG,BioFoodComp4.0.xlsx
99143,F16D1CN9(g),MG,BioFoodComp4.0.xlsx
99144,F16D1N11(g),MG,BioFoodComp4.0.xlsx
99145,F16D1N5(g),MG,BioFoodComp4.0.xlsx
99146,F16D1N5_A_F16D1N7(g),MG,BioFoodComp4.0.xlsx
99147,F16D1N7(g),MG,BioFoodComp4.0.xlsx
99148,F16D1N7_A_F16D1N9(g),MG,BioFoodComp4.0.xlsx
99149,F16D1N8(g),MG,BioFoodComp4.0.xlsx
99150,F16D1N9(g),MG,BioFoodComp4.0.xlsx
99151,F16D1T(g),MG,BioFoodComp4.0.xlsx
99152,F16D1TN7(g),MG,BioFoodComp4.0.xlsx
99153,F16D2(g),MG,BioFoodComp4.0.xlsx
99154,F16D2N4(g),MG,BioFoodComp4.0.xlsx
99155,F16D2N6(g),MG,BioFoodComp4.0.xlsx
99156,F16D2N7(g),MG,BioFoodComp4.0.xlsx
99157,F16D2N9(g),MG,BioFoodComp4.0.xlsx
99158,F16D3N3(g),MG,BioFoodComp4.0.xlsx
99159,F16D3N4(g),MG,BioFoodComp4.0.xlsx
99160,F16D3N6(g),MG,BioFoodComp4.0.xlsx
99161,F16D4(g),MG,BioFoodComp4.0.xlsx
99162,F16D4N1(g),MG,BioFoodComp4.0.xlsx
99163,F16D4N3(g),MG,BioFoodComp4.0.xlsx
99164,F17D0(g),MG,BioFoodComp4.0.xlsx
99165,F17D0AI(g),MG,BioFoodComp4.0.xlsx
99166,F17D0I(g),MG,BioFoodComp4.0.xlsx
99167,F17D1(g),MG,BioFoodComp4.0.xlsx
99168,F17D1C(g),MG,BioFoodComp4.0.xlsx
99169,F17D1CN7(g),MG,BioFoodComp4.0.xlsx
99170,F17D1CN8(g),MG,BioFoodComp4.0.xlsx
99171,F17D1N10(g),MG,BioFoodComp4.0.xlsx
99172,F17D1N5(g),MG,BioFoodComp4.0.xlsx
99173,F17D1N7(g),MG,BioFoodComp4.0.xlsx
99174,F17D1N8(g),MG,BioFoodComp4.0.xlsx
99175,F17D1N9(g),MG,BioFoodComp4.0.xlsx
