id,name,unit_name,source
103000,25-hydroxy D2-vitamin,MG,Frida_5.5_Dataset.ods
103001,25-hydroxy D3-vitamin,MG,Frida_5.5_Dataset.ods
103002,25-hydroxy Vitamin D2,MG,Frida_5.5_Dataset.ods
103003,25-hydroxy vitamin D3,MG,Frida_5.5_Dataset.ods
103004,A-vitamin,MG,Frida_5.5_Dataset.ods
103005,AAE8,MG,Frida_5.5_Dataset.ods
103006,ACEAC,MG,Frida_5.5_Dataset.ods
103007,ALA,MG,Frida_5.5_Dataset.ods
103008,ALC,MG,Frida_5.5_Dataset.ods
103009,ARG,MG,Frida_5.5_Dataset.ods
103010,ASCDL,MG,Frida_5.5_Dataset.ods
103011,ASCL,MG,Frida_5.5_Dataset.ods
103012,ASP,MG,Frida_5.5_Dataset.ods
103013,Added Sugar,MG,Frida_5.5_Dataset.ods
103014,Alanin,MG,Frida_5.5_Dataset.ods
103015,Alcohol,MG,Frida_5.5_Dataset.ods
103016,Alkohol,MG,Frida_5.5_Dataset.ods
103017,Aluminium,MG,Frida_5.5_Dataset.ods
103018,Aminosyrer og Nitrogen,MG,Frida_5.5_Dataset.ods
103019,Andre fedtsyrer,MG,Frida_5.5_Dataset.ods
103020,Arginin,MG,Frida_5.5_Dataset.ods
103021,Arsen,MG,Frida_5.5_Dataset.ods
103022,Ascorbinsyre,MG,Frida_5.5_Dataset.ods
103023,Aske,MG,Frida_5.5_Dataset.ods
103024,Asparaginsyre,MG,Frida_5.5_Dataset.ods
103025,B12-vitamin,MG,Frida_5.5_Dataset.ods
103026,B6-vitamin,MG,Frida_5.5_Dataset.ods
103027,BENAC,MG,Frida_5.5_Dataset.ods
103028,BIOT,MG,Frida_5.5_Dataset.ods
103029,BRD,MG,Frida_5.5_Dataset.ods
103030,Benzosyre,MG,Frida_5.5_Dataset.ods
103031,Biogene aminer,MG,Frida_5.5_Dataset.ods
103032,Biogenic amines,MG,Frida_5.5_Dataset.ods
103033,Bly,MG,Frida_5.5_Dataset.ods
103034,Bor,MG,Frida_5.5_Dataset.ods
103035,Brom,MG,Frida_5.5_Dataset.ods
103036,C-vitamin,MG,Frida_5.5_Dataset.ods
103037,C10:0,MG,Frida_5.5_Dataset.ods
103038,C12:0,MG,Frida_5.5_Dataset.ods
103039,"C12:1,n-1",MG,Frida_5.5_Dataset.ods
103040,C13:0,MG,Frida_5.5_Dataset.ods
103041,C14:0,MG,Frida_5.5_Dataset.ods
103042,"C14:1,n-5",MG,Frida_5.5_Dataset.ods
103043,"C14:1,n-5,trans",MG,Frida_5.5_Dataset.ods
103044,C15:0,MG,Frida_5.5_Dataset.ods
103045,"C15:1,n-5",MG,Frida_5.5_Dataset.ods
103046,C16:0,MG,Frida_5.5_Dataset.ods
103047,"C16:1,n-7",MG,Frida_5.5_Dataset.ods
103048,"C16:1,n-7,trans",MG,Frida_5.5_Dataset.ods
103049,C17:0,MG,Frida_5.5_Dataset.ods
103050,"C17:1,n-7",MG,Frida_5.5_Dataset.ods
103051,C18:0,MG,Frida_5.5_Dataset.ods
103052,"C18:1,n-12",MG,Frida_5.5_Dataset.ods
103053,"C18:1,n-7",MG,Frida_5.5_Dataset.ods
103054,"C18:1,n-9",MG,Frida_5.5_Dataset.ods
103055,"C18:1,trans",MG,Frida_5.5_Dataset.ods
103056,"C18:2,conjugated",MG,Frida_5.5_Dataset.ods
103057,"C18:2,konjugeret",MG,Frida_5.5_Dataset.ods
103058,"C18:2,n-6",MG,Frida_5.5_Dataset.ods
103059,"C18:2,trans",MG,Frida_5.5_Dataset.ods
103060,"C18:3,n-3",MG,Frida_5.5_Dataset.ods
103061,"C18:3,n-6",MG,Frida_5.5_Dataset.ods
103062,"C18:3,trans",MG,Frida_5.5_Dataset.ods
103063,"C18:4,n-3",MG,Frida_5.5_Dataset.ods
103064,C20:0,MG,Frida_5.5_Dataset.ods
103065,"C20:1,n-11",MG,Frida_5.5_Dataset.ods
103066,"C20:1,n-15",MG,Frida_5.5_Dataset.ods
103067,"C20:1,n-9",MG,Frida_5.5_Dataset.ods
103068,"C20:1,trans",MG,Frida_5.5_Dataset.ods
103069,"C20:2,n-6",MG,Frida_5.5_Dataset.ods
103070,"C20:3,n-3",MG,Frida_5.5_Dataset.ods
