id,name,unit_name,source
106000,25-hydroxycholecalciferol (25OHVitD3),MG,NEVO2025_v9.0.xlsx
106001,Alfa-carotene,MG,NEVO2025_v9.0.xlsx
106002,Alpha-tocopherol,MG,NEVO2025_v9.0.xlsx
106003,Beta-carotene,MG,NEVO2025_v9.0.xlsx
106004,Beta-cryptoxanthin,MG,NEVO2025_v9.0.xlsx
106005,Beta-tocopherol,MG,NEVO2025_v9.0.xlsx
106006,C10:0,MG,NEVO2025_v9.0.xlsx
106007,C10:1 cis,MG,NEVO2025_v9.0.xlsx
106008,C10:1 trans,MG,NEVO2025_v9.0.xlsx
106009,C11:0,MG,NEVO2025_v9.0.xlsx
106010,C12:0,MG,NEVO2025_v9.0.xlsx
106011,C12:1 cis,MG,NEVO2025_v9.0.xlsx
106012,C12:1 trans,MG,NEVO2025_v9.0.xlsx
106013,C13:0,MG,NEVO2025_v9.0.xlsx
106014,C14:0,MG,NEVO2025_v9.0.xlsx
106015,C14:1 cis,MG,NEVO2025_v9.0.xlsx
106016,C14:1 trans,MG,NEVO2025_v9.0.xlsx
106017,C15:0,MG,NEVO2025_v9.0.xlsx
106018,C16:0,MG,NEVO2025_v9.0.xlsx
106019,C16:1 cis,MG,NEVO2025_v9.0.xlsx
106020,C16:1 trans,MG,NEVO2025_v9.0.xlsx
106021,C17:0,MG,NEVO2025_v9.0.xlsx
106022,C18:0,MG,NEVO2025_v9.0.xlsx
106023,C18:1 cis,MG,NEVO2025_v9.0.xlsx
106024,C18:2 cis trans,MG,NEVO2025_v9.0.xlsx
106025,C18:2 n-6 trans,MG,NEVO2025_v9.0.xlsx
106026,C18:2 n-9 cis,MG,NEVO2025_v9.0.xlsx
106027,C18:2 remainder,MG,NEVO2025_v9.0.xlsx
106028,C18:2 trans cis,MG,NEVO2025_v9.0.xlsx
106029,C18:3 n-3 cis (ALA),MG,NEVO2025_v9.0.xlsx
106030,C18:3 n-3 trans,MG,NEVO2025_v9.0.xlsx
106031,C18:3 n-6 cis,MG,NEVO2025_v9.0.xlsx
106032,C18:4 n-3 cis,MG,NEVO2025_v9.0.xlsx
106033,C19:0,MG,NEVO2025_v9.0.xlsx
106034,C20:0,MG,NEVO2025_v9.0.xlsx
106035,C20:1 cis,MG,NEVO2025_v9.0.xlsx
106036,C20:1 trans,MG,NEVO2025_v9.0.xlsx
106037,C20:2 n-6 cis,MG,NEVO2025_v9.0.xlsx
106038,C20:2 n-6 trans,MG,NEVO2025_v9.0.xlsx
106039,C20:3 n-3 cis,MG,NEVO2025_v9.0.xlsx
106040,C20:3 n-6 cis,MG,NEVO2025_v9.0.xlsx
106041,C20:3 n-9 cis,MG,NEVO2025_v9.0.xlsx
106042,C20:4 n-3 cis,MG,NEVO2025_v9.0.xlsx
106043,C20:4 n-6 cis,MG,NEVO2025_v9.0.xlsx
106044,C20:5 n-3 cis (EPA),MG,NEVO2025_v9.0.xlsx
106045,C21:0,MG,NEVO2025_v9.0.xlsx
106046,C21:5 n-3 all-cis,MG,NEVO2025_v9.0.xlsx
106047,C22:0,MG,NEVO2025_v9.0.xlsx
106048,C22:1 cis,MG,NEVO2025_v9.0.xlsx
106049,C22:1 trans,MG,NEVO2025_v9.0.xlsx
106050,C22:2 n-3 cis,MG,NEVO2025_v9.0.xlsx
106051,C22:2 n-6 cis,MG,NEVO2025_v9.0.xlsx
106052,C22:3 n-3 cis,MG,NEVO2025_v9.0.xlsx
106053,C22:4 n-6 cis,MG,NEVO2025_v9.0.xlsx
106054,C22:5 n-3 cis (DPA),MG,NEVO2025_v9.0.xlsx
106055,C22:5 n-6 cis,MG,NEVO2025_v9.0.xlsx
106056,C22:6 n-3 cis (DHA),MG,NEVO2025_v9.0.xlsx
106057,C23:0,MG,NEVO2025_v9.0.xlsx
106058,C24:0,MG,NEVO2025_v9.0.xlsx
106059,C24:1 cis,MG,NEVO2025_v9.0.xlsx
106060,C24:1 trans,MG,NEVO2025_v9.0.xlsx
106061,C24:2 n-6 ciscis,MG,NEVO2025_v9.0.xlsx
106062,C25:0,MG,NEVO2025_v9.0.xlsx
106063,C26:0,MG,NEVO2025_v9.0.xlsx
106064,C4:0,MG,NEVO2025_v9.0.xlsx
106065,C6:0,MG,NEVO2025_v9.0.xlsx
106066,C8:0,MG,NEVO2025_v9.0.xlsx
106067,Cholecalciferol (Vit D3),MG,NEVO2025_v9.0.xlsx
106068,Cobalamin (Vit B12),MG,NEVO2025_v9.0.xlsx
106069,Delta-tocopherol,MG,NEVO2025_v9.0.xlsx
106070,Ergocalciferol (Vit D2),MG,NEVO2025_v9.0.xlsx
106071,Free sugars,MG,NEVO2025_v9.0.xlsx
106072,Gamma-tocopherol,MG,NEVO2025_v9.0.xlsx
106073,Iron haem,MG,NEVO2025_v9.0.xlsx
106074,Iron non-haem,MG,NEVO2025_v9.0.xlsx
106075,Niacin (Vit B3),MG,NEVO2025_v9.0.xlsx
106076,Retinol activity equialents (RAE),MG,NEVO2025_v9.0.xlsx
106077,Riboflavin (Vit B2),MG,NEVO2025_v9.0.xlsx
106078,Thiamin (Vit B1),MG,NEVO2025_v9.0.xlsx
106079,Vitamin K1,MG,NEVO2025_v9.0.xlsx
