id,name,unit_name,source
98000,Alcohol (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98001,Alpha-tocopherol (vitamine E)(mg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98002,Beta-carotene (µg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98003,Calcium (mg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98004,Cholesterol (mg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98005,Copper (mg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98006,FA mono (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98007,FA poly (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98008,FA saturated (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98009,FA 10:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98010,FA 12:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98011,FA 14:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98012,FA 16:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98013,FA 18:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98014,FA 18:1 n-9 cis (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98015,"FA 18:2 9c,12c (n-6) (g 100g)",MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98016,"FA 18:3 c9,c12,c15 (n-3) (g 100g)",MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98017,"FA 20:4 5c,8c,11c,14c (n-6) (g 100g)",MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98018,FA 4:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98019,FA 6:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98020,FA 8:0 (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98021,Fibres (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98022,Fructose (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98023,Galactose (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98024,Glucose (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98025,INFDSTAG,MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98026,Intrinsic folate (µg 100 g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98027,Iodine (µg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98028,Iron (mg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98029,Lactose (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98030,Magnesium (mg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98031,Maltose (g 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98032,Manganese (mg 100g),MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
98033,ORIGCPCD,MG,Table Ciqual 2025_ENG_2025_11_03.xlsx
