id,name,unit_name,source
101000,100.0,MG,WAFCT_2019.xlsx
101001,101.0,MG,WAFCT_2019.xlsx
101002,102.0,MG,WAFCT_2019.xlsx
101003,106.0,MG,WAFCT_2019.xlsx
101004,37.1,MG,WAFCT_2019.xlsx
101005,89.3,MG,WAFCT_2019.xlsx
101006,93.8,MG,WAFCT_2019.xlsx
101007,94.4,MG,WAFCT_2019.xlsx
101008,94.5,MG,WAFCT_2019.xlsx
101009,94.7,MG,WAFCT_2019.xlsx
101010,95.2,MG,WAFCT_2019.xlsx
101011,95.4,MG,WAFCT_2019.xlsx
101012,95.6,MG,WAFCT_2019.xlsx
101013,95.7,MG,WAFCT_2019.xlsx
101014,96.8,MG,WAFCT_2019.xlsx
101015,96.9,MG,WAFCT_2019.xlsx
101016,97.0,MG,WAFCT_2019.xlsx
101017,97.2,MG,WAFCT_2019.xlsx
101018,97.5,MG,WAFCT_2019.xlsx
101019,97.8,MG,WAFCT_2019.xlsx
101020,97.9,MG,WAFCT_2019.xlsx
101021,98.1,MG,WAFCT_2019.xlsx
101022,98.3,MG,WAFCT_2019.xlsx
101023,98.4,MG,WAFCT_2019.xlsx
101024,98.5,MG,WAFCT_2019.xlsx
101025,98.6,MG,WAFCT_2019.xlsx
101026,98.7,MG,WAFCT_2019.xlsx
101027,98.8,MG,WAFCT_2019.xlsx
101028,98.9,MG,WAFCT_2019.xlsx
101029,99.1,MG,WAFCT_2019.xlsx
101030,99.2,MG,WAFCT_2019.xlsx
101031,99.3,MG,WAFCT_2019.xlsx
101032,99.4,MG,WAFCT_2019.xlsx
101033,99.5,MG,WAFCT_2019.xlsx
101034,99.6,MG,WAFCT_2019.xlsx
101035,99.7,MG,WAFCT_2019.xlsx
101036,99.8,MG,WAFCT_2019.xlsx
101037,99.9,MG,WAFCT_2019.xlsx
101038,99.99,MG,WAFCT_2019.xlsx
101039,Alcohol,MG,WAFCT_2019.xlsx
101040,Alcohol (g),MG,WAFCT_2019.xlsx
