product	ec_numbers	activities	modules	evidence
Xylosidase/arabinosidase	3.2.1.37;3.2.1.55	beta-D-xylosidase; alpha-L-arabinofuranosidase	GH43 / GH3	Both activities are named in the product. GH43 xylosidase-arabinofuranosidases hydrolyse the xylan backbone and the arabinose side chains of arabinoxylan; a single EC captures only one of the two.
Amylopullulanase	3.2.1.1;3.2.1.41	alpha-amylase; pullulanase	GH13	Type II pullulanase: one active site with endo-alpha-1,4 and debranching alpha-1,6 activity on starch and pullulan.
Carbohydrate acetyl esterase/feruloyl esterase	3.1.1.72;3.1.1.73	acetylxylan esterase; feruloyl esterase	CE1 / CE6	Both activities are named. The two remove different decorations from arabinoxylan (acetyl vs feruloyl), so neither substitutes for the other.
Cellulase/esterase CelE	3.2.1.4;3.1.1.72	endoglucanase; acetylxylan esterase	GH5 + CE2	CelE carries a GH5 catalytic module fused to a CE2 esterase module; the esterase half is a distinct chemistry, not a variant of the glycosidase.
Bifunctional xylanase/deacetylase	3.2.1.8;3.1.1.72	endo-1,4-beta-xylanase; acetylxylan esterase	GH10/GH11 + CE	Both activities are named; backbone cleavage plus de-acetylation of the same polymer.
Endo-1,4-beta-xylanase/feruloyl esterase	3.2.1.8;3.1.1.73	endo-1,4-beta-xylanase; feruloyl esterase	GH10 + CE1	Both activities are named; releases ferulate cross-links in addition to cleaving the backbone.
Bifunctional sulfatase/alpha-L-rhamnosidase	3.1.6.1;3.2.1.40	arylsulfatase; alpha-L-rhamnosidase	S1 + GH78	Both activities are named. 3.1.6.1 is the generic arylsulfatase assignment, and is what the orthology annotation gives for the loci in this set that carry any EC at all.
putative bifunctional chitinase/lysozyme	3.2.1.14;3.2.1.17	chitinase; lysozyme	GH18	Both activities are named; both act on beta-1,4-GlcNAc polymers but on different linkage contexts.
Beta/alpha-amylase	3.2.1.2;3.2.1.1	beta-amylase; alpha-amylase	GH13/GH14	Both activities are named; exo- and endo-acting on the same substrate.
Bifunctional alpha-galactosidase/sucrose kinase AgaSK	3.2.1.22	alpha-galactosidase	GH36 + ROK	ONLY the glycoside-hydrolase half is mapped. The sucrose-kinase half has no EC number that this resource can resolve (it would fall under 2.7.1.-), so mapping it would assert a link the chain cannot follow. The alpha-galactosidase activity releases galactose from the raffinose-family oligosaccharides of legumes.
