ec	substrate	substrate_normalized
1.1.1.1	(+)-2-methylcyclohexanone	(+)-2-methylcyclohexanone
1.1.1.1	(+/-)-3-methylcyclohexanone	(+/-)-3-methylcyclohexanone
1.1.1.1	(-)-carvone	(-)-carvone
1.1.1.1	(1R)-2,2,2-trifluoro-1-phenylethanol	(1r)-2,2,2-trifluoro-1-phenylethanol
1.1.1.1	(1R)-2,2-difluoro-1-phenylethanol	(1r)-2,2-difluoro-1-phenylethanol
1.1.1.1	(1R)-2-chloro-1-(2,4-dichlorophenyl)ethan-1-ol	(1r)-2-chloro-1-(2,4-dichlorophenyl)ethan-1-ol
1.1.1.1	(1R)-2-chloro-1-(2,4-fluorophenyl)ethan-1-ol	(1r)-2-chloro-1-(2,4-fluorophenyl)ethan-1-ol
1.1.1.1	(1R)-2-chloro-1-(4-fluorophenyl)ethan-1-ol	(1r)-2-chloro-1-(4-fluorophenyl)ethan-1-ol
1.1.1.1	(1R)-2-fluoro-1-(4-chlorophenyl)ethanol	(1r)-2-fluoro-1-(4-chlorophenyl)ethanol
1.1.1.1	(1R)-2-fluoro-1-(4-fluorophenyl)ethanol	(1r)-2-fluoro-1-(4-fluorophenyl)ethanol
1.1.1.1	(1R)-2-fluoro-1-(4-iodophenyl)ethanol	(1r)-2-fluoro-1-(4-iodophenyl)ethanol
1.1.1.1	(1R)-2-fluoro-1-phenylethanol	(1r)-2-fluoro-1-phenylethanol
1.1.1.1	(1S,3S)-3-methylcyclohexanol	(1s,3s)-3-methylcyclohexanol
1.1.1.1	(2-nitrophenyl)methanol	(2-nitrophenyl)methanol
1.1.1.1	(2E)-2-methylpent-2-en-1-ol	(2e)-2-methylpent-2-en-1-ol
1.1.1.1	(2E)-2-methylpent-2-enal	(2e)-2-methylpent-2-enal
1.1.1.1	(2E)-3,7-dimethylocta-2,6-dien-1-ol	(2e)-3,7-dimethylocta-2,6-dien-1-ol
1.1.1.1	(2E)-3,7-dimethylocta-2,6-dienal	(2e)-3,7-dimethylocta-2,6-dienal
1.1.1.1	(2E)-3-phenylprop-2-enal	(2e)-3-phenylprop-2-enal
1.1.1.1	(2E)-4-hydroxynon-2-enal	(2e)-4-hydroxynon-2-enal
1.1.1.1	(2E)-but-2-en-1-ol	(2e)-but-2-en-1-ol
1.1.1.1	(2E)-but-2-enal	(2e)-but-2-enal
1.1.1.1	(2E)-dec-2-en-1-ol	(2e)-dec-2-en-1-ol
1.1.1.1	(2E)-dec-2-enal	(2e)-dec-2-enal
1.1.1.1	(2E)-hex-2-en-1-ol	(2e)-hex-2-en-1-ol
1.1.1.1	(2E)-hex-2-enal	(2e)-hex-2-enal
1.1.1.1	(2E)-non-2-ene-1,4-diol	(2e)-non-2-ene-1,4-diol
1.1.1.1	(2E)-oct-2-en-1-ol	(2e)-oct-2-en-1-ol
1.1.1.1	(2E)-oct-2-enal	(2e)-oct-2-enal
1.1.1.1	(2S)-1-(4-methoxyphenyl)propan-2-ol	(2s)-1-(4-methoxyphenyl)propan-2-ol
1.1.1.1	(3R,5S)-6-benzyloxy-3,5-dihydroxy-hexanoic acid ethyl ester	(3r,5s)-6-benzyloxy-3,5-dihydroxy-hexanoic acid ethyl ester
1.1.1.1	(4S,6S)-5,6-dihydro-4-hydroxy-6-methyl-4H-thieno[2,3b]thiopyran-7,7-dioxide	(4s,6s)-5,6-dihydro-4-hydroxy-6-methyl-4h-thieno[2,3b]thiopyran-7,7-dioxide
1.1.1.1	(6-methoxynaphthalen-2-yl)methanol	(6-methoxynaphthalen-2-yl)methanol
